r_Angstrom,g11_Direct,g11_Window,g12_Direct,g12_Window,g22_Direct,g22_Window
0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0,0.0,0.0
2.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0,0.0,0.0
2.7,6.8833827526759706e-15,0.0,7.216449660063518e-15,0.0,6.217248937900877e-15,0.0
2.8000000000000003,7.256839573699381e-11,0.0,7.583267347399669e-11,0.0,1.0449296983239265e-10,0.0
2.9000000000000004,3.582206753449668e-8,0.0,4.258133268209008e-8,0.0,3.9619661773571124e-8,0.0
3.0,3.053921944551341e-6,0.0,2.9449043722484802e-6,0.0,3.302675987248982e-6,0.0
3.1,4.61326594030087e-5,0.0,4.698743030129293e-5,0.0,5.327869687954401e-5,0.0
3.2,0.0003373491547857821,0.0,0.0003136068371704104,0.0002864746139898955,0.0003651170620336819,0.0
3.3000000000000003,0.0012402182435782283,0.00012604184715148126,0.0012045227138246517,0.0008657523572974668,0.0013005108365047313,0.0013107599418736848
3.4000000000000004,0.003328897038879175,0.002472194576992215,0.0033386354591719014,0.00405724106269989,0.003680557367504722,0.004670090895681933
3.5,0.006486225154466285,0.006213317911095806,0.006493980747285688,0.009598697427272929,0.006937957983345733,0.005703053203062192
3.6,0.011480153258093373,0.012550619974862065,0.01117953069619615,0.012871225823776422,0.01169428457898336,0.013656155746119003
3.7,0.016261884877079136,0.02317041202193737,0.016796832487751656,0.018986311442462434,0.01771376290082094,0.016930158698961084
3.8000000000000003,0.022514872639911365,0.02828227097981373,0.02281936993336986,0.02962785086787567,0.02388012574872056,0.02335872974526887
3.9000000000000004,0.028952287782262887,0.03693999364589173,0.029880266204004302,0.03753265474952383,0.030700000023912155,0.037944720882178706
4.0,0.03680182765717677,0.05086973101164072,0.036402688798008564,0.047935164659018814,0.037513664608817,0.04497924412782761
4.1000000000000005,0.044241973454213435,0.06235516231065308,0.04444054350431237,0.054811644586621244,0.04506344738573975,0.06359544920071358
4.2,0.05218018810270353,0.0710887313799431,0.0518721969360163,0.07333445471758182,0.054059488422846025,0.07363420885646588
4.3,0.05957631187913082,0.10030886326315047,0.06066775561534499,0.08457626913992322,0.06115725830549912,0.08367033910568134
4.4,0.0692218804079876,0.09714592368736674,0.0693523815799788,0.08823891077076396,0.07198014835075395,0.10693343344625195
4.5,0.07738284769589387,0.11383917674342792,0.07828770868942114,0.10922179433517765,0.07932896239167275,0.10773290880291886
4.6000000000000005,0.08824695855895759,0.1262622927474002,0.08732680807382198,0.12277090097267274,0.09217583337665225,0.129043846267348
4.7,0.09778868402370167,0.13651028625984463,0.09797580331301425,0.14239788719668267,0.099301889008102,0.13680139233960253
4.800000000000001,0.10730233026626745,0.14972948274268227,0.1099379327967922,0.1593550958248071,0.11141344316509971,0.14757810125911763
4.9,0.11860044964771388,0.16957954675243592,0.11805157015568879,0.1620093106942989,0.12067370884655992,0.16670780081008874
5.0,0.13015049313532767,0.18638472315390076,0.127682079057169,0.17482003591431694,0.132974966025322,0.1804089642017821
