x, 11, 12, 21, 22
0.100000, -1.643858e-04, -1.635222e-04, -9.749926e-05, -9.705928e-05
0.200000, -1.636316e-04, -1.628917e-04, -9.706891e-05, -9.653956e-05
0.300000, -1.625546e-04, -1.618504e-04, -9.634083e-05, -9.579662e-05
0.400000, -1.610599e-04, -1.604160e-04, -9.534165e-05, -9.479030e-05
0.500000, -1.592150e-04, -1.586152e-04, -9.410795e-05, -9.357168e-05
0.600000, -1.570114e-04, -1.564780e-04, -9.267164e-05, -9.214966e-05
0.700000, -1.544945e-04, -1.540338e-04, -9.105154e-05, -9.054810e-05
0.800000, -1.516860e-04, -1.513124e-04, -8.927908e-05, -8.879585e-05
0.900000, -1.486421e-04, -1.483537e-04, -8.738409e-05, -8.693806e-05
1.000000, -1.453954e-04, -1.451938e-04, -8.539834e-05, -8.499095e-05
1.100000, -1.419908e-04, -1.418805e-04, -8.334138e-05, -8.298381e-05
1.200000, -1.384707e-04, -1.384539e-04, -8.123405e-05, -8.093358e-05
1.300000, -1.348670e-04, -1.349490e-04, -7.909982e-05, -7.886052e-05
1.400000, -1.312248e-04, -1.314012e-04, -7.696114e-05, -7.678787e-05
1.500000, -1.275704e-04, -1.278474e-04, -7.484149e-05, -7.472983e-05
1.600000, -1.239408e-04, -1.243194e-04, -7.275015e-05, -7.269859e-05
1.700000, -1.203600e-04, -1.208390e-04, -7.070448e-05, -7.071549e-05
1.800000, -1.168523e-04, -1.174261e-04, -6.871884e-05, -6.879142e-05
1.900000, -1.134367e-04, -1.141027e-04, -6.680280e-05, -6.693177e-05
2.000000, -1.101255e-04, -1.108851e-04, -6.496133e-05, -6.514152e-05
2.100000, -1.069336e-04, -1.077790e-04, -6.320017e-05, -6.343042e-05
2.200000, -1.038668e-04, -1.047937e-04, -6.152488e-05, -6.180327e-05
2.300000, -1.009308e-04, -1.019316e-04, -5.993409e-05, -6.025939e-05
2.400000, -9.812467e-05, -9.919570e-05, -5.842655e-05, -5.879561e-05
2.500000, -9.545376e-05, -9.658496e-05, -5.699898e-05, -5.741257e-05
2.600000, -9.291271e-05, -9.409758e-05, -5.564841e-05, -5.610748e-05
2.700000, -9.049558e-05, -9.172714e-05, -5.437092e-05, -5.487350e-05
2.800000, -8.819471e-05, -8.946948e-05, -5.316042e-05, -5.370260e-05
2.900000, -8.600531e-05, -8.731663e-05, -5.201176e-05, -5.259006e-05
3.000000, -8.392078e-05, -8.526027e-05, -5.091726e-05, -5.152954e-05
3.100000, -8.193232e-05, -8.329497e-05, -4.987251e-05, -5.051356e-05
3.200000, -8.003461e-05, -8.141168e-05, -4.887140e-05, -4.953685e-05
3.300000, -7.821663e-05, -7.960290e-05, -4.790908e-05, -4.859272e-05
3.400000, -7.647504e-05, -7.786158e-05, -4.697935e-05, -4.767829e-05
3.500000, -7.480116e-05, -7.618198e-05, -4.607833e-05, -4.678829e-05
3.600000, -7.318980e-05, -7.455921e-05, -4.520086e-05, -4.591853e-05
3.700000, -7.163572e-05, -7.298764e-05, -4.434587e-05, -4.506662e-05
3.800000, -7.013479e-05, -7.146348e-05, -4.351051e-05, -4.423219e-05
