Outer_Iter,Inner_Iter,deltaC_Step,C_k_Error,W_r_Error
1,1,1.148977e+00,7.670858e-02,0.000000e+00
2,1,1.186490e+01,7.823840e-02,8.699734e-09
3,1,1.306646e+01,7.818790e-02,8.051703e-08
